LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasan,ISOEventfu,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriat,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Em,occ00___Un,occ00___Re,occ00___St,occ00___Ot,occ00___Ra,occ00_othe,Occupation,edu00,eth00,eth00_othe,misc00,misc03,misc03_oth,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingL,Loudness_N,N10_N90(so,Sharpness_,Rough_HM_R,Rough_HM_A,"FS_Avg,ari","I_HM_Avg,a",Ton_HM_Avg,LZeq_L(dB(,LAeq_L(A)(,LA10_LA90(,LCeq_LAeq(,LC10_LC90(,RA_2D_cp(c,PA(Zwicker,fid,NoiseClass,NoiseCla_1,OBJECTID,ID,A_pred,A_prob,B_pred,B_prob,PARKSDISTAN,fountainsvi,roadnoiseco,treesvisibi,vi20mbigger,DISTANCE,SVF,VISIBLE
CamdenTown,CamdenTown1,CT108,531,English,0,2-5-2019 12:10,2-5-2019 12:26,51.5391240000,-0.1426240000,3,2,2,1,-0.1464000000,0.1464000000,3,3,3,3,1,3,3,3,3,3,3,1,2,4,2,4,3,4,68,63,Female,1,0,0,0,0,0,,Employed,5,1,,,,,,,3,1,1,1,0,0,0,,0,27.2600000000,34.3000000000,14.9000000000,2.2500000000,0.0410000000,0.0410000000,0.0157000000,0.3740000000,0.1960000000,79.7000000000,70.9500000000,9.1900000000,6.7600000000,8.8600000000,14.8000000000,41.3812487900,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT109,557,English,0,2-5-2019 12:16,2-5-2019 12:28,51.5391240000,-0.1426240000,3,1,3,1,-0.1161000000,0.3232000000,4,5,3,3,2,3,4,3,2,3,4,3,4,4,4,3,2,3,64,19,Female,0,0,0,1,0,0,,Student,3,3,,,1,,,,4,3,1,1,0,0,0,,1,31.5300000000,30.0000000000,8.9000000000,2.1100000000,0.0411000000,0.0411000000,0.0274000000,0.4070000000,0.2970000000,80.1000000000,69.7500000000,6.6400000000,6.9900000000,5.4200000000,15.2000000000,34.3666500700,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT109,558,English,0,2-5-2019 12:16,2-5-2019 12:28,51.5391240000,-0.1426240000,5,3,4,2,-0.1464000000,0.3536000000,3,4,2,2,2,3,4,2,2,3,5,3,4,3,2,5,2,2,56,19,Female,0,0,0,1,0,0,,Student,3,4,,,1,,,,2,3,1,1,0,0,0,,1,31.5300000000,30.0000000000,8.9000000000,2.1100000000,0.0411000000,0.0411000000,0.0274000000,0.4070000000,0.2970000000,80.1000000000,69.7500000000,6.6400000000,6.9900000000,5.4200000000,15.2000000000,34.3666500700,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT109,532,English,0,2-5-2019 12:16,2-5-2019 12:28,51.5391240000,-0.1426240000,4,3,5,1,0.1036000000,1.0000000000,3,5,5,1,1,2,5,1,4,5,5,3,5,5,4,5,0,4,72,19,Female,0,0,0,1,0,0,,Student,3,4,,,,,,,4,3,1,1,0,0,0,,0,31.5300000000,30.0000000000,8.9000000000,2.1100000000,0.0411000000,0.0411000000,0.0274000000,0.4070000000,0.2970000000,80.1000000000,69.7500000000,6.6400000000,6.9900000000,5.4200000000,15.2000000000,34.3666500700,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT110,556,English,0,2-5-2019 12:38,2-5-2019 12:41,51.5391240000,-0.1426240000,3,4,2,3,-0.0303000000,-0.0126000000,3,1,1,1,3,4,3,2,3,4,3,1,3,3,4,4,3,5,76,22,Male,0,0,0,1,0,0,,Student,5,1,,,2,,,,1,2,1,1,0,0,0,,1,31.6600000000,33.8000000000,17.0000000000,2.1100000000,0.0387000000,0.0387000000,0.0174000000,0.3720000000,0.1890000000,80.1100000000,68.8400000000,11.0800000000,7.6600000000,8.7300000000,14.4000000000,38.8228998400,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT111,533,English,0,2-5-2019 12:29,2-5-2019 12:58,51.5391240000,-0.1426240000,4,4,3,1,-0.4142000000,-0.4571000000,1,4,4,4,5,5,1,5,2,3,3,1,3,4,4,4,4,5,84,59,Female,1,0,0,0,0,0,,Employed,3,1,,,,,,,1,2,1,1,0,0,0,Alram,0,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT111,552,English,0,2-5-2019 12:29,2-5-2019 12:58,51.5391240000,-0.1426240000,4,2,3,2,-0.6161000000,-0.2374000000,2,5,1,4,1,3,1,4,2,3,4,1,2,4,4,4,4,4,80,67,Male,0,0,1,0,0,0,,Retired,3,1,,,2,,,,1,2,1,1,0,0,0,,1,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT112,534,English,0,2-5-2019 12:29,2-5-2019 12:55,51.5391240000,-0.1426240000,5,4,5,1,0.0732000000,0.9268000000,2,5,5,1,2,2,5,1,2,5,4,4,3,5,4,5,5,5,96,20,Female,0,0,0,1,0,0,,Student,2,1,,,,,,,1,2,1,1,0,0,0,,0,33.7100000000,34.3000000000,16.1000000000,2.0700000000,0.0375000000,0.0375000000,0.0138000000,0.3760000000,0.2720000000,79.7900000000,69.7800000000,12.2800000000,8.5400000000,6.5400000000,14.3000000000,38.8463655400,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT112,554,English,0,2-5-2019 12:29,2-5-2019 12:55,51.5391240000,-0.1426240000,5,4,3,1,-0.3964000000,0.5000000000,2,5,3,2,1,3,4,3,2,4,5,3,2,2,2,3,2,3,48,20,Female,0,0,0,1,0,0,,Student,2,1,,,1,,,,1,2,1,1,0,0,0,,1,33.7100000000,34.3000000000,16.1000000000,2.0700000000,0.0375000000,0.0375000000,0.0138000000,0.3760000000,0.2720000000,79.7900000000,69.7800000000,12.2800000000,8.5400000000,6.5400000000,14.3000000000,38.8463655400,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT113,553,English,0,2-5-2019 12:57,2-5-2019 13:06,51.5391240000,-0.1426240000,4,3,3,1,0.3839000000,0.2626000000,4,3,4,3,1,1,2,1,3,3,4,3,3,1,1,3,3,2,40,49,Male,1,0,0,0,0,0,,Employed,5,1,,,2,,,,1,2,1,1,0,0,0,,1,20.6400000000,30.5000000000,9.8000000000,2.3600000000,0.0390000000,0.0390000000,0.0059700000,0.3750000000,0.5380000000,81.7200000000,69.2000000000,5.1900000000,11.0800000000,7.6700000000,13.9000000000,37.9894336600,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
